Full Timeline for Partition 0
Image: /home/utsav/Github/Cyber Chakshu/siem-tool/imageProcessor/2020JimmyWilson.E01
Offset: 65664 bytes
================================================================================

+++++ d/d 105-144-1:	Device Metadata	2015-05-26 18:16:10 (IST)	2015-05-26 18:16:10 (IST)	2015-05-26 18:16:10 (IST)	2014-02-11 20:12:58 (IST)	360	0	0
++++++ r/r 939-128-3:	dmrc.idx	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	2015-05-26 18:15:57 (IST)	777104	0	0
++++++ d/d 3484-144-1:	dmrccache	2015-05-26 18:16:10 (IST)	2015-05-26 18:16:10 (IST)	2015-05-26 18:16:10 (IST)	2014-02-11 20:12:58 (IST)	256	0	0
+++++++ d/d 3485-144-1:	downloads	2014-02-11 20:12:58 (IST)	2014-02-11 20:12:58 (IST)	2015-05-26 18:16:10 (IST)	2014-02-11 20:12:58 (IST)	48	0	0
+++++ d/d 3310-144-1:	Event Viewer	2014-02-11 19:14:28 (IST)	2014-02-11 19:14:28 (IST)	2015-05-26 18:16:09 (IST)	2014-02-11 19:14:28 (IST)	48	0	0
+++++ d/d 419-144-5:	Feeds	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:47 (IST)	56	0	0
++++++ d/d 4205-144-6:	Feeds for United States~	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:53 (IST)	56	0	0
+++++++ r/r 4206-128-4:	Popular Government Questions from USA~dgov~.feed-ms	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	28672	0	0
+++++++ r/r 4209-128-4:	USA~dgov Updates~c News and Features~.feed-ms	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	28672	0	0
++++++ r/r 4164-128-4:	FeedsStore.feedsdb-ms	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	6144	0	0
++++++ d/d 420-144-1:	{5588ACFD-6436-411B-A5CE-666AE6A92D3D}~	2014-01-25 23:57:48 (IST)	2014-01-25 23:57:48 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:48 (IST)	256	0	0
+++++++ d/d 421-144-1:	WebSlices~	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:48 (IST)	544	0	0
++++++++ r/r 422-128-4:	Suggested Sites~.feed-ms	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	32768	0	0
++++++++ r/r 4163-128-4:	Web Slice Gallery~.feed-ms	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	28672	0	0
+++++ d/d 434-144-6:	Feeds Cache	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:48 (IST)	56	0	0
++++++ d/d 4168-144-1:	7DV2Z68V	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:48 (IST)	256	0	0
+++++++ r/r 4174-128-1:	fwlink[1]	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	0	0	0
++++++ r/r 4162-128-1:	container.dat	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	0	0	0
++++++ d/d 4166-144-1:	OKSC3JX7	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:48 (IST)	256	0	0
+++++++ r/r 4208-128-1:	fwlink[1]	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	0	0	0
++++++ d/d 4167-144-1:	R1LVJ30Z	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:48 (IST)	256	0	0
+++++++ r/r 4207-128-1:	fwlink[1]	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	0	0	0
++++++ d/d 435-144-1:	S8VER0I7	2014-02-10 20:22:02 (IST)	2014-02-10 20:22:02 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:48 (IST)	288	0	0
+++++++ r/r 436-128-1:	ieonline.microsoft[1]	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	0	0	0
+++++ d/d 217-144-6:	Internet Explorer	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:47 (IST)	56	0	0
++++++ r/r 4157-128-3:	brndlog.txt	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	5964	0	0
++++++ d/d 519-144-1:	DomainSuggestions	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2014-02-10 20:22:27 (IST)	144	0	0
+++++++ r/r 520-128-3:	en-US.1	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	18176	0	0
++++++ d/d 4138-144-1:	IECompatData	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:47 (IST)	280	0	0
+++++++ r/r 4139-128-4:	iecompatdata.xml	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	515509	0	0
++++++ d/d 259-144-1:	imagestore	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	2014-02-10 20:21:32 (IST)	144	0	0
+++++++ d/d 260-144-1:	y3hpiab	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	2014-02-10 20:21:32 (IST)	272	0	0
++++++++ r/r 383-128-4:	imagestore.dat	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	91527	0	0
++++++ r/r 3496-128-3:	MSIMGSIZ.DAT	2015-05-26 18:16:10 (IST)	2015-05-26 18:16:10 (IST)	2015-05-26 18:16:10 (IST)	2015-05-26 18:16:10 (IST)	49120	0	0
++++++ d/d 218-144-1:	Recovery	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2014-02-10 20:21:18 (IST)	352	0	0
+++++++ d/d 219-144-1:	Active	2014-02-11 19:00:55 (IST)	2014-02-11 19:00:55 (IST)	2015-05-26 18:15:54 (IST)	2014-02-10 20:21:18 (IST)	48	0	0
+++++++ d/d 521-144-6:	Last Active	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2014-02-10 20:22:37 (IST)	56	0	0
++++++++ r/r 522-128-4:	RecoveryStore.{FB0EE295-9262-11E3-9A25-001641E7BB6B}.dat	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	6656	0	0
++++++++ r/r 524-128-4:	{BB298927-9320-11E3-9237-001641E7BB6B}.dat	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	30208	0	0
++++++ d/d 4144-144-1:	TabRoaming	2014-01-25 23:57:47 (IST)	2014-01-25 23:57:47 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:47 (IST)	48	0	0
++++++ d/d 389-144-5:	Tiles	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:48 (IST)	56	0	0
+++++++ d/d 390-144-1:	pin-2845162440	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	2014-02-10 20:21:59 (IST)	280	0	0
++++++++ r/r 391-128-1:	msapplication.xml	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	2015-05-26 18:15:55 (IST)	392	0	0
+++++++ d/d 1246-144-1:	pin-9513911450	2015-05-26 18:15:59 (IST)	2015-05-26 18:15:59 (IST)	2015-05-26 18:15:59 (IST)	2014-02-10 20:40:46 (IST)	280	0	0
++++++++ r/r 1247-128-1:	msapplication.xml	2015-05-26 18:15:59 (IST)	2015-05-26 18:15:59 (IST)	2015-05-26 18:15:59 (IST)	2015-05-26 18:15:59 (IST)	388	0	0
+++++++ d/d 1880-144-1:	pin16028574790	2015-05-26 18:16:02 (IST)	2015-05-26 18:16:02 (IST)	2015-05-26 18:16:02 (IST)	2014-02-10 20:53:58 (IST)	280	0	0
++++++++ r/r 1881-128-1:	msapplication.xml	2015-05-26 18:16:02 (IST)	2015-05-26 18:16:02 (IST)	2015-05-26 18:16:02 (IST)	2015-05-26 18:16:02 (IST)	507	0	0
+++++++ d/d 699-144-1:	pin682489660	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2014-02-10 20:25:11 (IST)	280	0	0
++++++++ r/r 700-128-1:	msapplication.xml	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	2015-05-26 18:15:56 (IST)	484	0	0
+++++++ d/d 4160-144-1:	pin9728060290	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:48 (IST)	280	0	0
++++++++ r/r 4161-128-1:	msapplication.xml	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	400	0	0
++++++ d/d 4143-144-1:	Tracking Protection	2014-01-25 23:57:47 (IST)	2014-01-25 23:57:47 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:47 (IST)	48	0	0
+++++ d/d 4025-144-6:	Media Player	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:44 (IST)	56	0	0
++++++ r/r 4104-128-4:	CurrentDatabase_372.wmdb	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	1331200	0	0
++++++ r/r 4105-128-4:	LocalMLS_3.wmdb	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	69740	0	0
++++++ d/d 4027-144-1:	Sync Playlists	2015-05-26 18:16:17 (IST)	2015-05-26 18:16:17 (IST)	2015-05-26 18:16:17 (IST)	2014-01-25 23:57:44 (IST)	144	0	0
