Filename,Severity,Score,Rule ID,Description,Timestamp Value,Expected Value,Time Diff (Days),Source Layer
config,HIGH,75.0,timestamp_order_anomaly,Timestamp sequence anomaly: MFT Modified (2014-01-30) is 481.0 days BEFORE Created (2015-05-26) - IMPOSSIBLE - CLEAR TAMPERING,2015-05-26 18:17:22,,,Timeline (MACE Analysis)
SYSTEM.vhd,HIGH,75.0,timestamp_order_anomaly,Timestamp sequence anomaly: MFT Modified (2014-01-30) is 481.0 days BEFORE Created (2015-05-26) - IMPOSSIBLE - CLEAR TAMPERING,2015-05-26 18:35:09,,,Timeline (MACE Analysis)
